"Ninja Spirit","https://www.kultboy.com/testbericht-uebersicht/253/",65,,,36,25,,,,,,,,,48,74,43.50,43.50
"Caveman Ugh-Lympics","https://www.kultboy.com/testbericht-uebersicht/228/",46,,,,75,,,,,,,,,47,69,56.00,56.00
"Iron Lord","https://www.kultboy.com/testbericht-uebersicht/192/",71,,,85,58,,,,,,,,,71,71,71.25,71.25
"Supertrux","https://www.kultboy.com/testbericht-uebersicht/6977/",46,,,,,,,,,,,,,40,,43.00,
"Out Run Europa","https://www.kultboy.com/testbericht-uebersicht/708/",74,,,74,58,,,,,,,,,,67,68.67,68.67
"The Cycles: International Grand Prix Racing","https://www.kultboy.com/testbericht-uebersicht/3159/",69,,,69,33,,,,,,,,,79,68,62.50,62.50
"Plazma Ball","https://www.kultboy.com/testbericht-uebersicht/3229/",60,,,,,,,,,,,,,,,60.00,
"Mean Streets","https://www.kultboy.com/testbericht-uebersicht/259/",60,,,59,50,,,,,,,,,53,,55.50,55.50
"Hanna-Barbera-Collection","https://www.kultboy.com/testbericht-uebersicht/3414/",60,,,,,,,,,,,,,,,60.00,
"James Pond 2: Codename RoboCod","https://www.kultboy.com/testbericht-uebersicht/460/",66,,79,72,83,,,,,,68,72,,68,81,72.57,72.57
"Elvira: The Arcade Game","https://www.kultboy.com/testbericht-uebersicht/764/",70,,,81,,,,,,,70,,,23,,61.00,61.00
"Space Gun","https://www.kultboy.com/testbericht-uebersicht/80/",60,,,48,8,,,,,,,,41,9,,33.20,33.20
"Summer Camp","https://www.kultboy.com/testbericht-uebersicht/3533/",60,,,31,,,,,,,,,,40,,43.67,43.67
"Teenage Mutant Hero Turtles","https://www.kultboy.com/testbericht-uebersicht/869/",65,,,44,8,,,65,,,43,,,36,54,43.50,43.50
"Bundesliga Manager V2.0","https://www.kultboy.com/testbericht-uebersicht/3515/",60,,,,,,,,,,,,,,,60.00,
"Shiftrix","https://www.kultboy.com/testbericht-uebersicht/235/",64,,,64,66,,,,,,,,,,,64.67,64.67
"Skull & Crossbones","https://www.kultboy.com/testbericht-uebersicht/346/",60,,,59,8,,,,,,,,,42,,42.25,42.25
"Total Recall","https://www.kultboy.com/testbericht-uebersicht/574/",72,,72,62,33,,,,,,,,,33,30,54.40,54.40
"Pot Panic","https://www.kultboy.com/testbericht-uebersicht/3898/",69,,,48,,,,,,,,,69,,,62.00,62.00
"Pick'n Pile","https://www.kultboy.com/testbericht-uebersicht/3025/",65,,,52,41,,,,,,,,,65,,55.75,55.75
"Super Space Invaders","https://www.kultboy.com/testbericht-uebersicht/3840/",65,,,49,66,,,,,,28,,,45,,50.60,50.60
"Gemini Wing","https://www.kultboy.com/testbericht-uebersicht/2609/",60,,,,0,,,,,,,,,,,30.00,
"Arnie 2","https://www.kultboy.com/testbericht-uebersicht/1479/",60,,,38,,,,,,,35,,,,,44.33,44.33
"Moonfall","https://www.kultboy.com/testbericht-uebersicht/2189/",75,,,75,,,,,,,,,,40,,63.33,63.33
"Pit-Fighter","https://www.kultboy.com/testbericht-uebersicht/2230/",60,,,48,58,,,,38,,,,,25,34,45.80,45.80
"Wu Lung","https://www.kultboy.com/testbericht-uebersicht/3708/",70,,,,,,,,,,,,,70,,70.00,
"The Addams Family","https://www.kultboy.com/testbericht-uebersicht/6862/",66,,,71,50,,,,,,,,24,39,,50.00,50.00
"Beverly Hills Cop","https://www.kultboy.com/testbericht-uebersicht/2087/",60,,,55,58,,,,,,,,,,,57.67,57.67
"Fighter Bomber","https://www.kultboy.com/testbericht-uebersicht/912/",66,,,61,,,,,,,,,,54,,60.33,60.33
"Flimbo's Quest","https://www.kultboy.com/testbericht-uebersicht/985/",60,,,63,75,,,,,,,,,50,70,62.00,62.00
"International 3D Tennis","https://www.kultboy.com/testbericht-uebersicht/1252/",66,,,44,58,,,,,,,,,66,,58.50,58.50
"X-Out","https://www.kultboy.com/testbericht-uebersicht/203/",67,,,91,58,,,,,,,,,67,79,70.75,70.75
"Kick Off 2","https://www.kultboy.com/testbericht-uebersicht/1184/",65,,,88,58,,,,,,,,59,60,79,66.00,66.00
"Lords of Doom","https://www.kultboy.com/testbericht-uebersicht/2081/",70,,,70,91,,,,,,,,75,57,67,72.60,72.60
"Puffy's Saga","https://www.kultboy.com/testbericht-uebersicht/1010/",83,,,83,83,,,,,,,,,43,,73.00,73.00
"Satan","https://www.kultboy.com/testbericht-uebersicht/2655/",60,,,44,58,,,,,,,,,56,,54.50,54.50
"Tilt (1990)","https://www.kultboy.com/testbericht-uebersicht/5702/",60,,,,,,,,,,,,,,,60.00,
"Batman - The Movie","https://www.kultboy.com/testbericht-uebersicht/748/",68,,,92,58,,,,,,,,,59,69,69.25,69.25
"Bundesliga Manager","https://www.kultboy.com/testbericht-uebersicht/743/",64,,,64,75,,,,,,,,,71,81,68.50,68.50
"Corx","https://www.kultboy.com/testbericht-uebersicht/2041/",71,,,38,,,,,,,,,71,,,60.00,60.00
"Time Machine","https://www.kultboy.com/testbericht-uebersicht/2656/",50,,,62,25,,,,,,,,,32,,42.25,42.25
"Krieg um die Krone II: Die Erben des Throns","https://www.kultboy.com/testbericht-uebersicht/5476/",50,,,,58,,,,,,,,,47,,51.67,51.67
"Cool World","https://www.kultboy.com/testbericht-uebersicht/1203/",75,,,38,,,,,,,,34,75,37,,51.80,51.80
"Lethal Weapon","https://www.kultboy.com/testbericht-uebersicht/1243/",74,,,74,75,,,,,21,74,40,55,44,55,57.13,57.13
"WWF European Rampage Tour","https://www.kultboy.com/testbericht-uebersicht/770/",50,,,58,,,,,,,,37,,12,,39.25,39.25
"Cover Girl Strip Poker","https://www.kultboy.com/testbericht-uebersicht/297/",50,,,50,8,,,,,,31,6,,24,,28.17,28.17
"Football Manager 3","https://www.kultboy.com/testbericht-uebersicht/3421/",50,,,,,,,,,,,7,,,,28.50,
"Kangarudy II: The Adventure Continues...","https://www.kultboy.com/testbericht-uebersicht/3422/",50,,,,,,,,,,,,,61,,55.50,
"Hero Quest","https://www.kultboy.com/testbericht-uebersicht/863/",50,,,52,58,,,,,,62,,,52,71,54.80,54.80
"Mercs","https://www.kultboy.com/testbericht-uebersicht/65/",70,,,72,16,,,,,,,,,70,70,57.00,57.00
"Predator 2","https://www.kultboy.com/testbericht-uebersicht/72/",50,,,53,25,,,,,,,,,,,42.67,42.67
